"","year","gas_current","gas_constant"
"1",1929,0.21,2.38
"2",1930,0.2,2.3
"3",1931,0.17,2.18
"4",1932,0.18,2.61
"5",1933,0.18,2.66
"6",1934,0.19,2.67
"7",1935,0.19,2.62
"8",1936,0.19,2.67
"9",1937,0.2,2.63
"10",1938,0.2,2.64
"11",1939,0.19,2.56
"12",1940,0.18,2.49
"13",1941,0.19,2.43
"14",1942,0.2,2.39
"15",1943,0.21,2.3
"16",1944,0.21,2.25
"17",1945,0.21,2.19
"18",1946,0.21,1.96
"19",1947,0.23,1.97
"20",1948,0.26,2.09
"21",1949,0.27,2.17
"22",1950,0.27,2.14
"23",1951,0.27,2.03
"24",1952,0.27,2.01
"25",1953,0.29,2.08
"26",1954,0.29,2.08
"27",1955,0.29,2.05
"28",1956,0.3,2.04
"29",1957,0.31,2.05
"30",1958,0.3,1.96
"31",1959,0.31,1.94
"32",1960,0.31,1.95
"33",1961,0.31,1.91
"34",1962,0.31,1.88
"35",1963,0.3,1.84
"36",1964,0.3,1.82
"37",1965,0.31,1.83
"38",1966,0.32,1.83
"39",1967,0.33,1.84
"40",1968,0.34,1.79
"41",1969,0.35,1.77
"42",1970,0.36,1.72
"43",1971,0.36,1.67
"44",1972,0.36,1.59
"45",1973,0.39,1.62
"46",1974,0.53,2.03
"47",1975,0.57,1.98
"48",1976,0.59,1.96
"49",1977,0.62,1.94
"50",1978,0.63,1.83
"51",1979,0.86,2.31
"52",1980,1.19,2.95
"53",1981,1.31,2.97
"54",1982,1.22,2.6
"55",1983,1.16,2.37
"56",1984,1.13,2.23
"57",1985,1.12,2.14
"58",1986,0.86,1.61
"59",1987,0.9,1.64
"60",1988,0.9,1.59
"61",1989,1,1.7
"62",1990,1.15,1.89
"63",1991,1.14,1.81
"64",1992,1.13,1.75
"65",1993,1.11,1.68
"66",1994,1.11,1.65
"67",1995,1.15,1.67
"68",1996,1.23,1.76
"69",1997,1.23,1.74
"70",1998,1.06,1.47
"71",1999,1.17,1.6
"72",2000,1.51,2.02
"73",2001,1.46,1.91
"74",2002,1.36,1.75
"75",2003,1.59,2.01
"76",2004,1.88,2.32
"77",2005,2.3,2.74
"78",2006,2.59,3
"79",2007,2.8,3.16
"80",2008,3.27,3.61
"81",2009,2.35,2.58
"82",2010,2.79,3.02
"83",2011,3.53,3.75
"84",2012,3.64,3.8
"85",2013,3.53,3.62
"86",2014,3.37,3.4
"87",2015,2.45,2.45
